epoch,train_loss,val_loss,val_mae_rad,val_mae_deg,lr
1,0.037337120282367325,0.02122634586485405,0.1451379954814911,8.315794588078251,0.001
2,0.01910138251845967,0.016221574507987033,0.12235688418149948,7.010533057970944,0.001
3,0.015734743762433313,0.013646971708583014,0.10886625200510025,6.237576771299881,0.001
4,0.013936173927141055,0.012255568109660987,0.10109704732894897,5.792434133183109,0.001
5,0.012586863608813273,0.01105810299765636,0.09402687102556229,5.387342870585646,0.001
6,0.01185723297790319,0.010335587575986212,0.08947544544935226,5.126565394300912,0.001
7,0.01121748733363254,0.010063829601284914,0.0883675143122673,5.063085616154814,0.001
8,0.01073702914768529,0.009521121401163887,0.0846279039978981,4.848821728117867,0.001
9,0.010337887936841168,0.00919599584328678,0.08224658668041229,4.712382296144516,0.001
10,0.009997448587975813,0.008829145263873708,0.08040301501750946,4.606753420630269,0.001
11,0.009727014242551324,0.008503752611034917,0.07782351225614548,4.458958799161771,0.001
12,0.009615135824409215,0.008571001916561852,0.07832477241754532,4.487678890848028,0.001
13,0.00933778822790696,0.00816424709717262,0.0754203200340271,4.321266027475722,0.001
14,0.009254697081385894,0.007945751182739219,0.0740036591887474,4.24009734003976,0.001
15,0.009100599121267566,0.007949376347001456,0.07391368597745895,4.234942254763693,0.001
16,0.008909793713681126,0.007880202762447983,0.07358753681182861,4.216255284081361,0.001
17,0.008792427213822888,0.007629885627763062,0.07140638679265976,4.0912845934981075,0.001
18,0.008619153082741587,0.0075113831561599825,0.07072152197360992,4.052044729829561,0.001
19,0.008558756565760073,0.007936756667162712,0.07417873293161392,4.25012832660957,0.001
20,0.00844965894120352,0.007375062787425749,0.06944596767425537,3.9789608519367783,0.001
21,0.008362666739832776,0.007508062036399377,0.07095988839864731,4.065702119961824,0.001
22,0.008267669565394483,0.007385079582088605,0.07053762674331665,4.04150830926117,0.001
23,0.008201915581178143,0.0070898630021529905,0.06764379143714905,3.875703759611818,0.001
24,0.008165106533022342,0.006995931107470123,0.06678643077611923,3.826580612214263,0.001
25,0.008081550898405414,0.0072329859567961,0.06932064145803452,3.971780188684979,0.001
26,0.008017400970901692,0.007227603891553479,0.06954711675643921,3.984756267447534,0.001
27,0.007970212157663836,0.007068188467265674,0.068470798432827,3.9230877700919584,0.001
28,0.007914287463774169,0.006842642993650583,0.06578043103218079,3.7689410726953487,0.001
29,0.007859886672871765,0.006805243737097753,0.06515870243310928,3.7333186479659703,0.001
30,0.007782146119875223,0.006914428277763486,0.06693419069051743,3.835046631690494,0.001
31,0.007754056626691167,0.006828920613632894,0.06563763320446014,3.7607593598433193,0.001
